,SKU ,VARIANTS,Product Name,Category,Image,Component name,QTY,Unit Measurement,Unit cost,Total,USD,Artisan cost,Total Cost,Artisan skill level needed,Complexity,Number of processes,Basic techniques,Special techniques,Labour Cost,Material cost,cost
,,,,,,horn bezzled,15,gms,0.206,3.09,$0.03,,0,,,,,,,,
,,,,,,sheet gauge 22 bezzle,33,gms,0.2,6.6,$0.06,,0,,,,,,,,
,,,,,,Labour,4,hrs,87.5,350,$3.37,,0,,,,,,,,
,,,,,,Mark up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,189.316,466.9515,$4.49,600,714,,,,,,,,
38,SS170025,,Organic Flex Cuff,Bracelet,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Upcycled Brass,50,gm,0.406,20.3,$0.20,,0,,,,,,,,
,,,,,,Labour,5,hrs,87.5,437.5,$4.21,,0,,,,,,,,
,,,,,,Mark-Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.906,557.8,$5.37,800,952,,,,,,,,
39,"SS170022 (SKU Archived Jan. 21, 2017)",,Sabi Bangle Set,Bracelet,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Upcycled brass,40,gm,0.406,16.24,$0.16,,0,,,,,,,,
,,,,,,Labour,4,hrs,87.5,350,$3.37,,0,,,,,,,,
,,,,,,Mark up,2,,50,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,137.906,466.24,$4.49,500,595,,,,,,,,
40,SS170021,,Aura Cuff,Bracelet,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Upcycled Brass,28,gm,0.406,11.368,$0.11,,0,,,,,,,,
,,,,,,Labour,5,hrs,87.5,437.5,$4.21,,0,,,,,,,,
,,,,,,Mark-Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.906,548.868,$5.28,600,714,,,,,,,,
41,SS170026,,Sabi Bangle,Bracelet,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Upcycled Brass,15,gm,0.406,6.09,$0.06,,0,,,,,,,,
,,,,,,Labour,4.5,hrs,87.5,393.75,$3.79,,0,,,,,,,,
,,,,,,Mark-Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.906,499.84,$4.81,600,714,,,,,,,,
42,SS170020B,BLACK,Split Moon Cuff,Bracelet,,Sheet Bezel,33,cm2,0.2,6.6,$0.06,,0,,,,,,,,
,,,,,,Horn,15,gms,0.206,3.09,$0.03,,0,,,,,,,,
,,,,,,Wire Band,39.4,cm,2.24,88.256,$0.85,,0,,,,,,,,
,,,,,,Labour,3,hrs,87.5,262.5,$2.53,,0,,,,,,,,
,,,,,,mark up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,140.146,410.446,$3.95,510,606.9,,,,,,,,
43,SS170010N,,Sawa Bangle Set,Bracelet,,,,,,,$0.00,,0,,,,,,,,
,,,,,,wire gauge 13,64.5,cm,0.44,28.38,$0.27,,0,,,,,,,,
,,NATURAL,,,,horn balls,3,,50,150,$1.44,,0,,,,,,,,
,,,,,,Mark up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,Labour,2.5,hrs,87.5,218.75,$2.11,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,237.94,497.13,$4.78,500,595,,,,,,,,
44,SS170108B,BLACK,Sawa Drop Necklace,Bracelet,,,,,,,$0.00,,0,,,,,,,,
,,,,,,wire gauge 9,3,cm,87.5,262.5,$2.53,,0,,,,,,,,
,,,,,,horn ball,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,mark up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,labour ,4,hrs,87.5,350,$3.37,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,275,712.5,$6.86,500,595,,,,,,,,
45,SS1701071,,Sia Necklace,Necklace,,,,,,,$0.00,,0,,,,,,,,
,,,,,,wire gauge 16,2,cm,0.17,0.34,$0.00,,0,,,,,,,,
,,,,,,Sheet G20,3.8,cm2,0.4,1.52,$0.01,,0,,,,,,,,
,,,,,,Labour,3,hrs,87.5,262.5,$2.53,,0,,,,,,,,
,,,,,,Mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,138.07,314.36,$3.03,300,357,,,,,,,,
46,SS1701072,,Sia Pendant,Necklace,,wire gauge 16,2,cm,0.17,,$0.00,,0,,,,,,,,
,,,,,,Sheet G20,7.07,cm2,0.4,2.828,$0.03,,0,,,,,,,,
,,,,,,Labour,3,hrs,87.5,262.5,$2.53,,0,,,,,,,,
,,,,,,mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,138.07,315.328,$3.03,300,357,,,,,,,,
47,SS170102,,Pia Lariat Necklace,Necklace,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Upcycled Brass,5,gm,0.406,2.03,$0.02,,0,,,,,,,,
,,,,,,Labour,4,hrs,87.5,350,$3.37,,0,,,,,,,,
,,,,,,Mark-Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,Necklace,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.906,452.03,$4.35,450,535.5,,,,,,,,
48,SS170111B,BLACK,Earth Inlay Necklace,,,,,,,,$0.00,,0,,,,,,,,
,,,,,,sheet bezzle,52,cm2,0.2,10.4,$0.10,,0,,,,,,,,
,,,,,,horn bezzled,10,gms,0.206,2.06,$0.02,,0,,,,,,,,
,,,,,,labour,3,hrs,87.5,262.5,$2.53,,0,,,,,,,,
,,,,,,mark-Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.906,374.96,$3.61,400,476,,,,,,,,
49,SS170109B,BLACK,Split Moon Pendant,Necklace,,wire gauge 7,9.5,cm,2.24,21.28,$0.20,,0,,,,,,,,
,,,,,,sheet bezzle,21.6,cm2,0.2,4.32,$0.04,,0,,,,,,,,
,,,,,,horn bezzled,20,gms,0.206,4.12,$0.04,,0,,,,,,,,
,,,,,,labour,5,hrs,87.5,437.5,$4.21,,0,,,,,,,,
,,,,,,mark-Up,1,,150,150,$1.44,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,240.146,617.22,$5.94,600,714,,,,,,,,
50,SS170112B,BLACK,Moon Inlay Pendant,Necklace,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,sheet gauge 22,38,cm2,0.2,7.6,$0.07,,0,,,,,,,,
,,,,,,horn bezzled,20,gms,0.206,4.12,$0.04,,0,,,,,,,,
,,,,,,labour,4,hrs,87.5,350,$3.37,,0,,,,,,,,
,,,,,,Mark-Up,1,khs,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,137.906,411.72,$3.96,400,476,,,,,,,,
51,SS170110,,Orbit Necklace,Necklace,,wire gauge 13,25,cm,0.44,11,$0.11,,0,,,,,,,,
,,,,,,brass balls,25,gms,0.406,10.15,$0.10,,0,,,,,,,,
,,,,,,labour,2,hrs,87.5,175,$1.68,,0,,,,,,,,
,,,,,,Mark -Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,188.346,296.15,$2.85,400,476,,,,,,,,
52,SS170113B,BLACK,Mini Dipped Dalili Necklace,Necklace,,horn,5,gms,0.206,1.03,$0.01,,0,,,,,,,,
,,,,,,Upcycled brass,35,gms,0.406,14.21,$0.14,,0,,,,,,,,
,,,,,,labour,6,hrs,87.5,525,$5.05,,0,,,,,,,,
,,,,,,Mark-Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,188.112,640.24,$6.16,400,476,,,,,,,,
53,SS170114B,BLACK,Sawa Hoop Pendant,Necklace,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,wire gauge 16,11,cm,0.17,1.87,$0.02,,0,,,,,,,,
,,,,,,horn balls,1,cm,70,70,$0.67,,0,,,,,,,,
,,,,,,Labour,2,hrs,87.5,175,$1.68,,0,,,,,,,,
,,,,,,Mark -Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,257.67,346.87,$3.34,350,416.5,,,,,,,,
54,SS170115,,Wisp Necklace,Necklace,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,Upcycled brass,20,gms,0.406,8.12,$0.08,,0,,,,,,,,
,,,,,,Labour,4,hr,87.5,350,$3.37,,0,,,,,,,,
,,,,,,Mark-up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.906,458.12,$4.41,400,476,,,,,,,,
55,SS170116,,Shield Collar,Necklace,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,Upcycled Brass,75,gm,0.406,30.45,$0.29,,0,,,,,,,,
,,,,,,Labour,6.5,hrs,87.5,568.75,$5.47,,0,,,,,,,,
,,,,,,Mark-Up,1,,150,150,$1.44,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,237.906,749.2,$7.21,1000,1190,,,,,,,,
56,SS170117,,Luxe Choker,Necklace,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,Upcycled Brass,95,gm,0.406,38.57,$0.37,,0,,,,,,,,
,,,,,,Labour,6.5,hrs,87.5,568.75,$5.47,,0,,,,,,,,
,,,,,,Mark-Up,1,,150,150,$1.44,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,237.906,757.32,$7.29,1000,1190,,,,,,,,
58,SS170119,,Capsule Chain Necklace,Necklace,,,,,,,$0.00,,0,,,,,,,,
,,,,,,G16 Wire,203.5,cm,0.17,34.595,$0.33,,0,,,,,,,,
,,,,,,Labour,7,hrs,87.5,612.5,$5.90,,0,,,,,,,,
,,,,,,Wire and Bar Closure,1,pc,175,175,$1.68,,0,,,,,,,,
,,,,,,mark-Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,362.67,922.095,$8.87,900,1071,,,,,,,,
59,SS170103N1,,Nestling Orb Necklace,Necklace,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Horn Bead,1,pc,40,40,$0.38,,0,,,,,,,,
,,NATURAL,,,,Sheet Half Sphere,22,cm2,0.2,4.4,$0.04,,0,,,,,,,,
,,,,,,Labour,0.5,hrs,87.5,43.75,$0.42,,0,,,,,,,,
,,,,,,Mark-up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,227.7,188.15,$1.81,200,238,,,,,,,,
60,SS1700047B,BLACK,Sawa Drop Studs,Necklace,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Horn Bead,1,pc,50,50,$0.48,,0,,,,,,,,
,,,,,,G10 Wire,2,cm,1.12,2.24,$0.02,,0,,,,,,,,
,,,,,,Labour,2,hrs,87.5,175,$1.68,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,138.62,227.24,$2.19,400,476,,,,,,,,
61,"SS170103B2





",BLACK,Nestling Orb Pendant,Earring,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Horn Bead,1,pc,50,50,$0.48,,0,,,,,,,,
,,,,,,Sheet Half Sphere,35,cm2,0.2,7,$0.07,,0,,,,,,,,
,,,,,,Labour,0.5,hrs,87.5,43.75,$0.42,,0,,,,,,,,
,,,,,,mark up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.7,150.75,$1.45,150,178.5,,,,,,,,
62,SS171018,,Sabi Statement Ring,Ring,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Upcycled Brass,25,gm,0.406,10.15,$0.10,,0,,,,,,,,
,,,,,,Labour,4,hrs,87.5,350,$3.37,,0,,,,,,,,
,,,,,,G13 Wire,5.3,cm,0.44,,$0.00,,0,,,,,,,,
,,,,,,Mark up,,,,,$0.00,,0,,,,,,,,
,,,,,,,,,,,$0.00,,0,,,,,,,,
,,,,,,,,,,,$0.00,,0,,,,,,,,
,,,,,,,,,,,$0.00,,0,,,,,,,,
,,,,,,,,,,,$0.00,,0,,,,,,,,
,,,,,,,,,88.346,360.15,$3.47,400,476,,,,,,,,
63,SS170120,,Short Luxe Chain Dangle ,Necklace,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,wire gauge 6,15.2,cm,2.24,34.048,$0.33,,0,,,,,,,,
,,,,,,jumprings,2,,2,4,$0.04,,0,,,,,,,,
,,,,,,labour,3,hrs,87.5,262.5,$2.53,,0,,,,,,,,
,,,,,,Mark up,,,100,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,191.74,300.548,$2.89,350,416.5,,,,,,,,
64,SS1700048,,Climbing Sabi Studs,Earring,,,,,,,$0.00,,0,,,,,,,,
,,,,,,G13 Wire,9.1,cm,0.44,4.004,$0.04,,0,,,,,,,,
,,,,,,G14 Wire,5.3,cm,0.39,2.067,$0.02,,0,,,,,,,,
,,,,,,Labour,3,hrs,87.5,262.5,$2.53,,0,,,,,,,,
,,,,,,Mark-Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,188.33,368.571,$3.55,350,416.5,,,,,,,,
65,SS171017W,,Split Moon Ring,Ring,,Bezel,5.3,cm2,0.2,1.06,$0.01,,0,,,,,,,,
,,WHITE,,,,Horn,5,gm,0.206,1.03,$0.01,,0,,,,,,,,
,,,,,,Band,5.2,cm,1.12,5.824,$0.06,,0,,,,,,,,
,,,,,,Labour,7,hrs,87.5,612.5,$5.90,,0,,,,,,,,
,,,,,,Mark-Up,1,,150,150,$1.44,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,239.026,770.414,$7.41,610,725.9,,,,,,,,
66,SS1700049,,Twisted Sia Studs,Earring,,,,,,,$0.00,,0,,,,,,,,
,,,,,,G 22 Sheet,7.0686,mm2,0.2,1.41372,$0.01,,0,,,,,,,,
,,,,,,Labour,2,hrs,87.5,175,$1.68,,0,,,,,,,,
,,,,,,Mark-up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.7,276.41372,$2.66,300,357,,,,,,,,
67,SS170122B,BLACK,Capsule Necklace,Necklace,,Horn,10,gms,0.206,2.06,$0.02,,0,,,,,,,,
,,,,,,Sheet Bezel (G 22),45,cm2,0.04,1.8,$0.02,,0,,,,,,,,
,,,,,,Jump rings,1,,2,2,$0.02,,0,,,,,,,,
,,,,,,Labour,3,hrs,87.5,262.5,$2.53,,0,,,,,,,,
,,,,,,Mark-Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,189.746,368.36,$3.55,350,416.5,,,,,,,,
68,SS170103B1,BLACK,Nestling Orb Necklace,Necklace,,Horn Bead,1,pc,40,40,$0.38,,0,,,,,,,,
,,,,,,Sheet Half Sphere,22,cm2,0.2,4.4,$0.04,,0,,,,,,,,
,,,,,,Labour,0.5,hrs,87.5,43.75,$0.42,,0,,,,,,,,
,,,,,,Mark-up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,227.7,188.15,$1.81,200,238,,,,,,,,
69,"SS170122N





",,Capsule Necklace,Necklace,,Horn,10,gms,0.206,2.06,$0.02,,0,,,,,,,,
,,,,,,Sheet Bezel (G 22),45,cm2,0.04,1.8,$0.02,,0,,,,,,,,
,,NATURAL,,,,Jump rings,1,,2,2,$0.02,,0,,,,,,,,
,,,,,,Labour,3,hrs,87.5,262.5,$2.53,,0,,,,,,,,
,,,,,,Mark-Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,,$0.00,,0,,,,,,,,
,,,,,,,,,189.746,368.36,$3.55,350,416.5,,,,,,,,
70,SS1700050,,Wrap Hoops,Earring,,,,,,,$0.00,,0,,,,,,,,
,,,,,,G22 Sheet,452.39,cm2,0.2,90.478,$0.87,,0,,,,,,,,
,,,,,,Labour,1,hrs,87.5,87.5,$0.84,,0,,,,,,,,
,,,,,,Mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.7,276.41372,$2.66,400,476,,,,,,,,
71,SS170024B,BLACK,Hekima Cuff,Bracelet,,G16 Sheet bangle,42,cm2,0.4,16.8,$0.16,,0,,,,,,,,
,,,,,,Flat horn bangle,30,gms,0.206,6.18,$0.06,,0,,,,,,,,
,,,,,,Labour,6.5,hrs,87.5,568.75,$5.47,,0,,,,,,,,
,,,,,,Mark-up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,188.106,691.73,$6.66,700,833,,,,,,,,
72,SS1700033N,,Oval Sawa Hoops,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,wire gauge 16,11,cm,0.17,1.87,$0.02,,0,,,,,,,,
,,NATURAL,,,,horn ball ,1,cm,50,50,$0.48,,0,,,,,,,,
,,,,,,labour,1.5,hrs,87.5,131.25,$1.26,,0,,,,,,,,
,,,,,,mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.67,233.12,$2.24,300,357,,,,,,,,
73,SS1700059B,BLACK,Circle Sawa Studs,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,wire gauge 16,11,cm,0.17,1.87,$0.02,,0,,,,,,,,
,,,,,,horn ball ,1,cm,50,50,$0.48,,0,,,,,,,,
,,,,,,labour,1.5,hrs,87.5,131.25,$1.26,,0,,,,,,,,
,,,,,,mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.67,233.12,$2.24,400,476,,,,,,,,
74,SS170002W,,Sawa Drop Hoop Earrings ,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,wire gauge 16,11,cm,0.17,1.87,$0.02,,0,,,,,,,,
,,,,,,horn ball ,1,cm,50,50,$0.48,,0,,,,,,,,
,,,,,,labour,1.5,hrs,87.5,131.25,$1.26,,0,,,,,,,,
,,,,,,mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,WHITE,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.67,233.12,$2.24,400,476,,,,,,,,
75,"SS1700059N





",,Circle Sawa Studs,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,wire gauge 16,11,cm,0.17,1.87,$0.02,,0,,,,,,,,
,,NATURAL,,,,horn ball ,1,cm,50,50,$0.48,,0,,,,,,,,
,,,,,,labour,1.5,hrs,87.5,131.25,$1.26,,0,,,,,,,,
,,,,,,mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.67,233.12,$2.24,400,476,,,,,,,,
76,"SS170002B





",BLACK,Sawa Drop Hoop Earrings ,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,wire gauge 16,11,cm,0.17,1.87,$0.02,,0,,,,,,,,
,,,,,,horn ball ,1,cm,50,50,$0.48,,0,,,,,,,,
,,,,,,labour,1.5,hrs,87.5,131.25,$1.26,,0,,,,,,,,
,,,,,,mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.67,233.12,$2.24,400,476,,,,,,,,
77,SS1700037B2,BLACK,Linked Sawa Drop Earrings,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,G16 Wire,13,cm,0.17,2.21,$0.02,,0,,,,,,,,
,,,,,,Horn Ball,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,Labour,2,hrs,87.5,175,$1.68,,0,,,,,,,,
,,,,,,mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.67,277.21,$2.67,400,476,,,,,,,,
78,SS170002N,,Sawa Drop Hoop Earrings ,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,G16 Wire,11,cm,0.17,1.87,$0.02,,0,,,,,,,,
,,NATURAL,,,,Horn Ball,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,Labour,1.5,hrs,87.5,131.25,$1.26,,0,,,,,,,,
,,,,,,mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.67,233.12,$2.24,400,476,,,,,,,,
79,SS171019B,BLACK,Disc Ring,Ring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,Bezel,44,cm2,0.2,8.8,$0.08,,0,,,,,,,,
,,,,,,Horn,5,gms,0.206,1.03,$0.01,,0,,,,,,,,
,,,,,,Band,5.4,cm ,1.41,7.614,$0.07,,0,,,,,,,,
,,,,,,Labour,4,,87.5,350,$3.37,,0,,,,,,,,
,,,,,,Mark-Up,2,,50,100,$0.96,,0,,,,,,,,
,,,,,,,,,139.316,467.444,$4.50,510,606.9,,,,,,,,
80,SS1700037B1,BLACK,Linked Sawa Drop Earrings,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,G16 Wire,10,cm,0.17,1.7,$0.02,,0,,,,,,,,
,,,,,,Horn Ball,1,gms,50,50,$0.48,,0,,,,,,,,
,,,,,,Labour,2,hrs,87.5,175,$1.68,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,137.67,226.7,$2.18,400,476,,,,,,,,
81,SS170123,,Sabi Choker,Necklace,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,Upcycled Brass,130,gms,0.406,52.78,$0.51,,0,,,,,,,,
,,,,,,Labour,7,hrs,87.5,612.5,$5.90,,0,,,,,,,,
,,,,,,Mark-Up,1,,150,150,$1.44,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,237.906,815.28,$7.85,1000,1190,,,,,,,,
82,SS170124,,Dash Wrap Choker,Necklace,,,,,,,$0.00,,0,,,,,,,,
,,,,,,Upcycled Brass,130,gms,0.406,52.78,$0.51,,0,,,,,,,,
,,,,,,Labour,4,hrs,87.5,350,$3.37,,0,,,,,,,,
,,,,,,Mark-Up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.906,502.78,$4.84,1000,1190,,,,,,,,
83,SS1700062,,Folded Teardrop Studs,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,Sheet gauge 22,35,cm2,0.206,7.21,$0.07,,0,,,,,,,,
,,,,,,Labour,2,hrs,87.5,175,$1.68,,0,,,,,,,,
,,,,,,Mark up,1,,100,100,$0.96,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,187.706,282.21,$2.72,400,476,,,,,,,,
84,SS171009,,Orbit Ring,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,1 cm Brass Ball,1,pc,70,70,$0.67,,0,,,,,,,,
,,,,,,8 mm Brass Ball,2,pc,35,70,$0.67,,0,,,,,,,,
,,,,,,G13 Wire,9.4,cm,0.44,175,$1.68,,0,,,,,,,,
,,,,,,Labour,2,hrs,87.5,175,$1.68,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,192.94,490,$4.72,500,595,,,,,,,,
85,SS1700061,,Sabi Drop Earrings,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,G22 Sheet,3.3489,cm2,0.22,0.736758,$0.01,,0,,,,,,,,
,,,,,,Labour,1.5,hrs,87.5,131.25,$1.26,,0,,,,,,,,
,,,,,,Mark up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,137.72,181.986758,$1.75,300,357,,,,,,,,
86,SS171022,,Saturn Ring Stack,Ring,,wire gauge 16,5.4,cm,0.17,0.918,$0.01,,0,,,,,,,,
,,,,,,wire gauge14,5.4,cm,0.35,1.89,$0.02,,0,,,,,,,,
,,,,,,wire gauge 13,5.4,cm,0.44,2.376,$0.02,,0,,,,,,,,
,,,,,,wire gauge 11,5.4,cm,1.12,6.048,$0.06,,0,,,,,,,,
,,,,,,Labour ,3,hrs,87.5,472.5,$4.55,,0,,,,,,,,
,,,,,,MArk up,2,,50,100,$0.96,,0,,,,,,,,
,,,,,,,,,139.58,583.732,$5.62,500,595,,,,,,,,
87,SS1700023,,Moon Drop Studs,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,G22 Sheet,8.2586,cm2,0.22,1.816892,$0.02,,0,,,,,,,,
,,,,,,Labour,1.5,hrs,87.5,131.25,$1.26,,0,,,,,,,,
,,,,,,Mark-up,1,,50,50,$0.48,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,,,,137.72,183.066892,$1.76,350,416.5,,,,,,,,
88,SS1700024,,Taji Drop Earrings,Earring,,,,,,0,$0.00,,0,,,,,,,,
,,,,,,wire gauge,20,cm,0.44,8.8,$0.08,,0,,,,,,,,
,,,,,,labour,2,hrs,87.5,175,$1.68,,0,,,,,,,,
,,,,,,mark-up,1,,50,50,$0.48,,0,,,,,,,,
